group,priority_rank,slug,title,homepage_role,neighborhood_anchor_count,feature_lead_count,display_tier,fields_to_improve,status,hero_image_level,canonical_neighborhood_slug,subarea
homepage lead/supporting places,1,d-and-department-kyoto,D&DEPARTMENT KYOTO,heroLead,0,3,hero,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,karasuma-and-downtown,
homepage lead/supporting places,2,wife-and-husband,WIFE&HUSBAND,editorialLead,1,2,hero,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,kamo-river-and-demachiyanagi,
homepage lead/supporting places,3,bolts-hardware-store,Bolts Hardware Store,supportingLeadCard1,0,1,standard,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,nishijin-and-north-kyoto,
homepage lead/supporting places,4,books-and-things,Books & Things,supportingLeadCard2,0,1,standard,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,gion-and-higashiyama,
homepage lead/supporting places,5,soil-kyoto,Soil,supportingReferenceCard1,1,1,standard,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,okazaki-and-marutamachi,
homepage lead/supporting places,6,lifetime-kyoto,Lifetime,supportingReferenceCard2,0,1,standard,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,nishijin-and-north-kyoto,
weak neighborhood anchors to strengthen next,1,inoda-coffee-main-store,イノダコーヒ 本店,,1,1,standard,heroImage|curatorNote|canonical neighborhood / subarea,usable_but_needs_image,needs_review,karasuma-and-downtown,
weak neighborhood anchors to strengthen next,2,ippodo-kyoto-main-store,一保堂茶舗 京都本店,,1,1,standard,heroImage|curatorNote|canonical neighborhood / subarea,usable_but_needs_image,needs_review,karasuma-and-downtown,
weak neighborhood anchors to strengthen next,3,kaikado,開化堂,,1,1,standard,heroImage|curatorNote|canonical neighborhood / subarea,usable_but_needs_image,broken_local_path,kyoto-station-and-south,
weak neighborhood anchors to strengthen next,4,wife-and-husband,WIFE&HUSBAND,editorialLead,1,2,hero,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,kamo-river-and-demachiyanagi,
weak neighborhood anchors to strengthen next,5,soil-kyoto,Soil,supportingReferenceCard1,1,1,standard,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,okazaki-and-marutamachi,
weak neighborhood anchors to strengthen next,6,smart-coffee,スマート珈琲店,,1,1,hero,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,karasuma-and-downtown,
weak neighborhood anchors to strengthen next,7,ichikawaya-coffee,市川屋珈琲,,1,1,standard,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,gion-and-higashiyama,
weak neighborhood anchors to strengthen next,8,funaoka-onsen,船岡温泉,,1,0,hero,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,nishijin-and-north-kyoto,
feature lead places to strengthen next,1,d-and-department-kyoto,D&DEPARTMENT KYOTO,heroLead,0,3,hero,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,karasuma-and-downtown,
feature lead places to strengthen next,2,wife-and-husband,WIFE&HUSBAND,editorialLead,1,2,hero,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,kamo-river-and-demachiyanagi,
feature lead places to strengthen next,3,inoda-coffee-main-store,イノダコーヒ 本店,,1,1,standard,heroImage|curatorNote|canonical neighborhood / subarea,usable_but_needs_image,needs_review,karasuma-and-downtown,
feature lead places to strengthen next,4,ippodo-kyoto-main-store,一保堂茶舗 京都本店,,1,1,standard,heroImage|curatorNote|canonical neighborhood / subarea,usable_but_needs_image,needs_review,karasuma-and-downtown,
feature lead places to strengthen next,5,kaikado,開化堂,,1,1,standard,heroImage|curatorNote|canonical neighborhood / subarea,usable_but_needs_image,broken_local_path,kyoto-station-and-south,
feature lead places to strengthen next,6,soil-kyoto,Soil,supportingReferenceCard1,1,1,standard,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,okazaki-and-marutamachi,
feature lead places to strengthen next,7,smart-coffee,スマート珈琲店,,1,1,hero,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,karasuma-and-downtown,
feature lead places to strengthen next,8,ichikawaya-coffee,市川屋珈琲,,1,1,standard,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,gion-and-higashiyama,
feature lead places to strengthen next,9,bolts-hardware-store,Bolts Hardware Store,supportingLeadCard1,0,1,standard,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,nishijin-and-north-kyoto,
feature lead places to strengthen next,10,books-and-things,Books & Things,supportingLeadCard2,0,1,standard,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,gion-and-higashiyama,
feature lead places to strengthen next,11,lifetime-kyoto,Lifetime,supportingReferenceCard2,0,1,standard,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,nishijin-and-north-kyoto,
feature lead places to strengthen next,12,kamisoe,かみ添,,0,1,hero,curatorNote|canonical neighborhood / subarea,ready_to_publish,ok,nishijin-and-north-kyoto,
